iter	Passed	Remaining
0	66	66725
1	72	35963
2	78	26137
3	84	21108
4	90	18009
5	96	16017
6	103	14621
7	110	13650
8	116	12804
9	122	12094
10	128	11580
11	134	11088
12	140	10643
13	146	10289
14	152	9985
15	157	9660
16	162	9394
17	167	9158
18	173	8936
19	178	8758
20	184	8592
21	189	8425
22	195	8288
23	200	8170
24	206	8037
25	211	7928
26	217	7831
27	222	7738
28	228	7655
29	234	7566
30	240	7514
31	245	7433
32	251	7361
33	256	7286
34	261	7215
35	267	7150
36	274	7143
37	281	7123
38	288	7107
39	294	7078
40	300	7039
41	307	7012
42	313	6973
43	318	6927
44	324	6888
45	329	6843
46	335	6801
47	341	6763
48	346	6717
49	351	6678
50	356	6641
51	362	6604
52	367	6568
53	372	6533
54	378	6503
55	384	6473
56	389	6445
57	395	6417
58	401	6397
59	406	6375
60	412	6350
61	418	6330
62	424	6312
63	430	6289
64	435	6262
65	440	6236
66	445	6208
67	451	6183
68	456	6157
69	461	6136
70	467	6115
71	472	6089
72	477	6067
73	482	6042
74	488	6019
75	493	5996
76	498	5976
77	503	5953
78	509	5936
79	514	5916
80	519	5894
81	524	5875
82	530	5857
83	535	5834
84	540	5820
85	545	5802
86	551	5783
87	556	5763
88	561	5746
89	566	5729
90	571	5712
91	579	5717
92	586	5718
93	593	5721
94	601	5729
95	608	5732
96	618	5757
97	628	5786
98	635	5779
99	640	5768
100	646	5753
101	651	5738
102	657	5728
103	663	5717
104	668	5700
105	674	5686
106	679	5671
107	685	5658
108	690	5646
109	696	5634
110	701	5619
111	707	5608
112	713	5598
113	718	5582
114	723	5567
115	728	5552
116	733	5538
117	739	5524
118	744	5512
119	749	5499
120	755	5487
121	760	5474
122	765	5460
123	771	5448
124	776	5435
125	781	5423
126	786	5409
127	792	5397
128	797	5385
129	802	5373
130	808	5360
131	813	5349
132	818	5335
133	823	5322
134	828	5310
135	833	5296
136	838	5282
137	843	5270
138	848	5257
139	853	5243
140	859	5233
141	864	5222
142	869	5208
143	874	5199
144	880	5190
145	885	5179
146	890	5169
147	895	5157
148	900	5145
149	905	5131
150	910	5119
151	915	5109
152	921	5099
153	926	5089
154	931	5077
155	936	5067
156	941	5055
157	946	5045
158	951	5035
159	957	5025
160	962	5016
161	967	5007
162	972	4996
163	978	4986
164	983	4977
165	988	4966
166	993	4955
167	998	4946
168	1004	4938
169	1009	4926
170	1014	4917
171	1019	4906
172	1024	4895
173	1029	4887
174	1034	4879
175	1040	4869
176	1045	4861
177	1050	4851
178	1055	4839
179	1060	4831
180	1065	4823
181	1071	4814
182	1076	4805
183	1081	4796
184	1086	4788
185	1092	4780
186	1098	4774
187	1104	4770
188	1110	4764
189	1115	4755
190	1120	4747
191	1125	4736
192	1131	4729
193	1136	4720
194	1141	4712
195	1147	4705
196	1152	4696
197	1156	4685
198	1162	4677
199	1167	4668
200	1172	4660
201	1177	4652
202	1182	4642
203	1187	4634
204	1193	4626
205	1198	4617
206	1203	4609
207	1208	4599
208	1213	4592
209	1218	4584
210	1223	4576
211	1228	4567
212	1234	4559
213	1238	4549
214	1243	4541
215	1248	4532
216	1254	4525
217	1259	4517
218	1264	4511
219	1270	4503
220	1274	4493
221	1279	4485
222	1284	4477
223	1290	4469
224	1295	4461
225	1300	4452
226	1305	4445
227	1310	4437
228	1315	4430
229	1321	4424
230	1327	4419
231	1332	4409
232	1336	4401
233	1342	4394
234	1348	4390
235	1354	4385
236	1360	4378
237	1365	4371
238	1370	4364
239	1376	4357
240	1381	4350
241	1386	4342
242	1391	4334
243	1396	4326
244	1402	4320
245	1407	4315
246	1414	4311
247	1419	4305
248	1424	4296
249	1429	4288
250	1434	4281
251	1439	4273
252	1444	4265
253	1449	4256
254	1454	4249
255	1459	4240
256	1463	4232
257	1469	4225
258	1474	4217
259	1479	4210
260	1484	4202
261	1489	4195
262	1494	4188
263	1499	4180
264	1504	4173
265	1509	4166
266	1514	4158
267	1519	4151
268	1525	4144
269	1529	4136
270	1534	4129
271	1539	4121
272	1545	4115
273	1549	4106
274	1554	4098
275	1559	4091
276	1565	4085
277	1570	4078
278	1575	4071
279	1580	4065
280	1586	4058
281	1591	4052
282	1597	4046
283	1602	4039
284	1607	4033
285	1612	4025
286	1617	4018
287	1622	4011
288	1627	4004
289	1633	3998
290	1637	3990
291	1643	3983
292	1648	3977
293	1653	3971
294	1658	3964
295	1663	3956
296	1668	3949
297	1673	3942
298	1678	3936
299	1684	3931
300	1690	3924
301	1695	3917
302	1700	3911
303	1705	3904
304	1710	3897
305	1715	3891
306	1720	3884
307	1724	3874
308	1729	3866
309	1734	3860
310	1739	3853
311	1744	3846
312	1748	3838
313	1753	3831
314	1758	3824
315	1764	3818
316	1769	3812
317	1774	3806
318	1780	3800
319	1785	3794
320	1790	3787
321	1795	3780
322	1800	3773
323	1805	3766
324	1809	3758
325	1814	3752
326	1820	3746
327	1825	3739
328	1830	3733
329	1836	3727
330	1842	3723
331	1847	3717
332	1853	3713
333	1859	3707
334	1865	3702
335	1870	3695
336	1875	3689
337	1880	3683
338	1885	3676
339	1890	3669
340	1895	3663
341	1900	3656
342	1905	3650
343	1910	3644
344	1916	3638
345	1921	3631
346	1926	3625
347	1931	3619
348	1937	3613
349	1942	3606
350	1947	3600
351	1952	3594
352	1957	3588
353	1963	3582
354	1968	3576
355	1972	3568
356	1977	3561
357	1982	3555
358	1988	3550
359	1993	3544
360	1998	3538
361	2004	3532
362	2009	3525
363	2013	3518
364	2018	3512
365	2024	3506
366	2029	3499
367	2034	3494
368	2038	3486
369	2044	3480
370	2049	3474
371	2054	3468
372	2059	3462
373	2065	3456
374	2070	3450
375	2075	3444
376	2080	3438
377	2085	3432
378	2090	3425
379	2096	3420
380	2101	3414
381	2107	3409
382	2112	3403
383	2117	3397
384	2123	3391
385	2128	3385
386	2133	3379
387	2138	3373
388	2144	3367
389	2149	3361
390	2154	3355
391	2159	3349
392	2164	3343
393	2169	3336
394	2174	3329
395	2179	3323
396	2184	3318
397	2189	3312
398	2194	3305
399	2200	3300
400	2205	3294
401	2210	3288
402	2215	3281
403	2220	3275
404	2225	3270
405	2231	3264
406	2236	3258
407	2241	3252
408	2246	3246
409	2251	3240
410	2256	3234
411	2262	3228
412	2266	3221
413	2272	3216
414	2277	3210
415	2282	3204
416	2287	3198
417	2293	3192
418	2298	3186
419	2303	3180
420	2307	3174
421	2313	3168
422	2317	3161
423	2322	3155
424	2327	3149
425	2332	3143
426	2338	3137
427	2343	3131
428	2348	3125
429	2353	3119
430	2358	3114
431	2364	3108
432	2368	3101
433	2373	3095
434	2378	3089
435	2383	3083
436	2389	3077
437	2394	3072
438	2398	3065
439	2403	3059
440	2408	3053
441	2413	3047
442	2418	3040
443	2422	3033
444	2427	3027
445	2432	3021
446	2437	3015
447	2442	3010
448	2448	3004
449	2453	2998
450	2457	2992
451	2463	2986
452	2468	2980
453	2473	2974
454	2478	2968
455	2483	2962
456	2488	2956
457	2493	2951
458	2498	2945
459	2504	2939
460	2509	2933
461	2513	2927
462	2518	2920
463	2523	2915
464	2529	2909
465	2534	2904
466	2539	2897
467	2544	2892
468	2549	2886
469	2554	2880
470	2558	2873
471	2563	2867
472	2568	2861
473	2573	2855
474	2578	2850
475	2583	2844
476	2588	2837
477	2592	2830
478	2597	2825
479	2602	2819
480	2607	2813
481	2612	2808
482	2617	2801
483	2622	2795
484	2627	2790
485	2632	2784
486	2637	2778
487	2643	2773
488	2648	2767
489	2653	2761
490	2657	2755
491	2662	2749
492	2667	2743
493	2672	2737
494	2678	2732
495	2683	2726
496	2688	2720
497	2692	2714
498	2697	2708
499	2702	2702
500	2707	2697
501	2713	2691
502	2718	2686
503	2723	2680
504	2729	2674
505	2734	2669
506	2738	2662
507	2742	2656
508	2746	2649
509	2751	2643
510	2756	2637
511	2760	2631
512	2764	2624
513	2768	2618
514	2773	2612
515	2778	2606
516	2784	2601
517	2789	2595
518	2794	2589
519	2799	2583
520	2804	2578
521	2808	2571
522	2813	2565
523	2818	2560
524	2823	2554
525	2828	2548
526	2833	2543
527	2838	2537
528	2844	2532
529	2849	2526
530	2854	2521
531	2858	2514
532	2862	2508
533	2867	2501
534	2871	2495
535	2876	2490
536	2881	2484
537	2886	2478
538	2890	2471
539	2895	2466
540	2899	2460
541	2904	2454
542	2909	2448
543	2914	2443
544	2919	2437
545	2923	2430
546	2928	2425
547	2932	2419
548	2936	2412
549	2940	2406
550	2944	2399
551	2948	2393
552	2953	2387
553	2958	2381
554	2962	2375
555	2966	2369
556	2970	2362
557	2976	2357
558	2980	2351
559	2984	2344
560	2988	2338
561	2993	2333
562	2997	2326
563	3001	2320
564	3005	2314
565	3009	2307
566	3013	2301
567	3017	2295
568	3021	2289
569	3025	2282
570	3029	2276
571	3034	2270
572	3039	2265
573	3044	2259
574	3048	2252
575	3052	2246
576	3056	2240
577	3060	2234
578	3064	2227
579	3069	2222
580	3073	2216
581	3077	2210
582	3081	2203
583	3085	2197
584	3089	2191
585	3093	2185
586	3098	2179
587	3102	2173
588	3106	2167
589	3110	2161
590	3114	2155
591	3118	2149
592	3122	2143
593	3126	2137
594	3130	2131
595	3134	2125
596	3139	2119
597	3143	2113
598	3147	2106
599	3151	2100
600	3155	2094
601	3159	2088
602	3163	2082
603	3167	2076
604	3171	2070
605	3175	2064
606	3179	2058
607	3183	2052
608	3187	2046
609	3191	2040
610	3196	2034
611	3199	2028
612	3203	2022
613	3208	2016
614	3211	2010
615	3215	2004
616	3220	1998
617	3225	1993
618	3229	1988
619	3233	1982
620	3238	1976
621	3243	1971
622	3247	1965
623	3252	1959
624	3256	1954
625	3261	1948
626	3265	1942
627	3269	1936
628	3274	1931
629	3280	1926
630	3284	1920
631	3289	1915
632	3294	1910
633	3299	1904
634	3304	1899
635	3310	1894
636	3314	1888
637	3318	1882
638	3322	1877
639	3326	1871
640	3330	1865
641	3334	1859
642	3340	1854
643	3344	1848
644	3349	1843
645	3354	1838
646	3358	1832
647	3363	1827
648	3367	1821
649	3372	1816
650	3377	1810
651	3381	1804
652	3386	1799
653	3390	1793
654	3394	1788
655	3398	1782
656	3403	1776
657	3407	1771
658	3413	1766
659	3417	1760
660	3422	1755
661	3427	1750
662	3432	1744
663	3436	1738
664	3441	1733
665	3446	1728
