iter	RMSE
0	0.4263543319
1	0.4035881226
2	0.3824176418
3	0.3636642492
4	0.3463147057
5	0.3301763208
6	0.3155634996
7	0.3025662036
8	0.2905218241
9	0.2800922175
10	0.2706972438
11	0.261609822
12	0.2540512296
13	0.247525801
14	0.2402095946
15	0.2344336406
16	0.2278186788
17	0.2232141128
18	0.2182758423
19	0.2144859121
20	0.2101379425
21	0.2059702168
22	0.2030192936
23	0.2003194913
24	0.1979549243
25	0.1956198932
26	0.1938460517
27	0.1922274653
28	0.1902747699
29	0.1884479884
30	0.1872463325
31	0.1856692722
32	0.1838568505
33	0.1824116478
34	0.1809903133
35	0.1793271957
36	0.177872158
37	0.1768747564
38	0.175148491
39	0.1741338578
40	0.172806704
41	0.1721576582
42	0.1713619965
43	0.1697169162
44	0.1685491496
45	0.1667806219
46	0.1660718763
47	0.1653406794
48	0.1645159729
49	0.163520585
50	0.1627745762
51	0.1619058985
52	0.1609088333
53	0.1600432989
54	0.1595495539
55	0.1588005208
56	0.1585093688
57	0.1577617718
58	0.1570515178
59	0.1564545736
60	0.1555591784
61	0.1548428817
62	0.1542941511
63	0.1534586177
64	0.1524278534
65	0.1519907264
66	0.151675169
67	0.1513895075
68	0.1507958387
69	0.1500913515
70	0.1495253518
71	0.1489230455
72	0.1484765661
73	0.1482053114
74	0.1479822698
75	0.1476316935
76	0.1473143293
77	0.1469987149
78	0.146634919
79	0.146281961
80	0.1456409412
81	0.1454748707
82	0.1452027304
83	0.1446420105
84	0.1442555456
85	0.1438410791
86	0.1435477623
87	0.1431054877
88	0.1427321303
89	0.1422376776
90	0.1420766336
91	0.1417076812
92	0.1413806437
93	0.1412367778
94	0.1410066359
95	0.1407171166
96	0.1401698251
97	0.139499404
98	0.1393849202
99	0.1391913799
100	0.1390499003
101	0.1389153272
102	0.138579644
103	0.1380028625
104	0.1376406774
105	0.1374768177
106	0.1372830907
107	0.1368621653
108	0.1364512929
109	0.1362819879
110	0.1359433276
111	0.1357322849
112	0.1355418159
113	0.1353710394
114	0.134634753
115	0.1345444462
116	0.1342629235
117	0.1340417925
118	0.1338804312
119	0.1336746141
