iter	Passed	Remaining
0	13	13845
1	21	10972
2	30	10075
3	37	9294
4	42	8495
5	48	7980
6	53	7655
7	59	7404
8	64	7141
9	70	6963
10	76	6843
11	81	6709
12	87	6627
13	93	6576
14	98	6488
15	104	6413
16	110	6364
17	115	6300
18	121	6282
19	127	6238
20	132	6185
21	138	6169
22	144	6122
23	149	6087
24	156	6086
25	161	6055
26	167	6020
27	172	6004
28	178	5975
29	183	5931
30	190	5944
31	195	5912
32	200	5889
33	207	5893
34	212	5865
35	218	5838
36	224	5846
37	229	5815
38	234	5783
39	241	5790
40	246	5768
41	252	5757
42	258	5752
43	263	5724
44	269	5712
45	275	5710
46	280	5695
47	286	5689
48	293	5686
49	298	5669
50	304	5672
51	310	5652
52	315	5631
53	321	5640
54	327	5625
55	332	5600
56	338	5603
57	343	5583
58	348	5566
59	356	5578
60	361	5561
61	366	5542
62	373	5550
63	378	5534
64	383	5518
65	390	5523
66	395	5504
67	400	5492
68	407	5492
69	412	5485
70	419	5483
71	424	5468
72	429	5455
73	435	5446
74	440	5432
75	445	5417
76	451	5407
77	456	5395
78	461	5381
79	466	5369
80	472	5356
81	477	5343
82	482	5329
83	487	5317
84	492	5303
85	498	5294
86	503	5283
87	508	5271
88	513	5260
89	519	5254
90	524	5243
91	530	5231
92	535	5223
93	540	5212
94	545	5200
95	551	5191
96	556	5180
97	561	5168
98	566	5157
99	572	5148
100	577	5137
101	582	5126
102	587	5117
103	592	5105
104	597	5095
105	603	5086
106	608	5079
107	613	5067
108	619	5063
109	624	5055
110	629	5045
111	635	5038
112	640	5027
113	645	5013
114	650	5008
115	656	4999
116	661	4991
117	667	4985
118	672	4981
119	678	4973
120	684	4971
121	689	4964
122	695	4957
123	701	4954
124	706	4946
125	711	4937
126	717	4934
127	722	4924
128	727	4915
129	734	4912
130	739	4907
131	745	4899
132	751	4899
133	757	4896
134	763	4889
135	769	4888
136	774	4880
137	779	4870
138	785	4866
139	790	4858
140	795	4848
141	802	4846
142	807	4837
143	812	4830
144	818	4826
145	823	4817
146	828	4809
147	835	4807
148	840	4799
149	845	4790
150	852	4790
151	857	4783
152	862	4774
153	868	4772
154	873	4762
155	879	4755
156	885	4752
157	890	4744
158	895	4736
159	901	4734
160	906	4723
161	911	4714
162	917	4711
163	922	4704
164	928	4697
165	934	4695
166	939	4688
167	944	4679
168	951	4676
169	956	4667
170	960	4657
171	967	4655
172	973	4651
173	979	4650
174	986	4648
175	991	4643
176	997	4639
177	1003	4632
178	1008	4624
179	1014	4623
180	1020	4618
181	1025	4609
182	1031	4605
183	1036	4596
184	1041	4589
185	1047	4585
186	1052	4576
187	1057	4568
188	1063	4564
189	1069	4557
190	1074	4550
191	1080	4546
192	1085	4539
193	1091	4533
194	1099	4537
195	1105	4536
196	1113	4538
197	1118	4531
198	1125	4529
199	1131	4525
200	1137	4521
201	1143	4518
202	1149	4513
203	1154	4506
204	1160	4502
205	1168	4504
206	1173	4495
207	1180	4495
208	1187	4493
209	1192	4487
210	1198	4482
211	1203	4473
212	1208	4466
213	1215	4465
214	1221	4458
215	1227	4454
216	1233	4450
217	1239	4444
218	1245	4441
219	1250	4434
220	1256	4429
221	1262	4425
222	1268	4418
223	1274	4414
224	1280	4410
225	1286	4404
226	1292	4401
227	1298	4395
228	1303	4388
229	1310	4385
230	1315	4378
231	1320	4370
232	1326	4366
233	1331	4357
234	1336	4351
235	1341	4344
236	1347	4338
237	1352	4330
238	1358	4325
239	1363	4318
240	1368	4311
241	1375	4307
242	1380	4301
243	1385	4292
244	1391	4288
245	1397	4284
246	1403	4277
247	1409	4273
248	1414	4267
249	1420	4260
250	1426	4256
251	1431	4247
252	1436	4241
253	1442	4236
254	1448	4230
255	1453	4223
256	1459	4220
257	1465	4214
258	1470	4207
259	1476	4203
260	1481	4195
261	1486	4187
262	1492	4182
263	1497	4173
264	1501	4164
265	1507	4159
266	1513	4154
267	1517	4145
268	1523	4140
269	1528	4133
270	1534	4126
271	1539	4121
272	1545	4114
273	1550	4108
274	1556	4104
275	1562	4099
276	1567	4091
277	1574	4088
278	1579	4081
279	1584	4074
280	1590	4070
281	1596	4064
282	1600	4055
283	1606	4050
284	1611	4043
285	1616	4035
286	1622	4031
287	1627	4024
288	1632	4016
289	1637	4009
290	1643	4005
291	1648	3997
292	1654	3991
293	1659	3986
294	1665	3980
295	1671	3974
296	1677	3969
297	1682	3962
298	1688	3958
299	1694	3953
300	1699	3946
301	1705	3942
302	1710	3935
303	1716	3929
304	1721	3923
305	1727	3917
306	1732	3911
307	1738	3906
308	1744	3900
309	1749	3894
310	1755	3889
311	1760	3883
312	1766	3877
313	1772	3872
314	1777	3864
315	1782	3857
316	1788	3852
317	1794	3847
318	1799	3841
319	1806	3837
320	1811	3832
321	1817	3826
322	1823	3822
323	1828	3815
324	1834	3809
325	1840	3804
326	1844	3796
327	1850	3790
328	1855	3784
329	1861	3778
330	1866	3772
331	1872	3766
332	1877	3760
333	1882	3754
334	1888	3747
335	1893	3742
336	1899	3736
337	1905	3732
338	1911	3726
339	1916	3721
340	1922	3715
341	1928	3709
342	1933	3702
343	1939	3698
344	1944	3692
345	1949	3685
346	1956	3682
347	1962	3675
348	1966	3668
349	1974	3666
350	1980	3661
351	1987	3657
352	1993	3653
353	1998	3647
354	2006	3645
355	2011	3639
356	2017	3634
357	2024	3630
358	2029	3624
359	2036	3619
360	2041	3614
361	2047	3608
362	2054	3605
363	2060	3599
364	2066	3594
365	2073	3591
366	2079	3586
367	2085	3582
368	2092	3578
369	2098	3573
370	2104	3568
371	2110	3563
372	2116	3558
373	2123	3554
374	2128	3548
375	2134	3542
376	2140	3537
377	2146	3531
378	2152	3527
379	2158	3522
380	2164	3516
381	2171	3513
382	2177	3508
383	2183	3503
384	2190	3498
385	2195	3491
386	2201	3487
387	2207	3482
388	2213	3476
389	2221	3474
390	2227	3469
391	2232	3461
392	2239	3459
393	2245	3454
394	2253	3452
395	2259	3446
396	2266	3442
397	2274	3439
398	2279	3433
399	2288	3432
400	2297	3431
401	2306	3431
402	2315	3430
403	2325	3430
404	2335	3431
405	2344	3430
406	2357	3434
407	2370	3439
408	2385	3446
409	2397	3450
410	2412	3457
411	2423	3458
412	2435	3461
413	2452	3472
414	2468	3479
415	2477	3478
416	2489	3480
417	2503	3485
418	2512	3483
419	2523	3484
420	2535	3486
421	2543	3483
422	2555	3485
423	2566	3486
424	2576	3485
425	2587	3486
426	2595	3482
427	2607	3484
428	2620	3488
429	2638	3497
430	2657	3507
431	2667	3507
432	2678	3507
433	2690	3508
434	2700	3507
435	2709	3504
436	2725	3510
437	2737	3511
438	2748	3512
439	2758	3510
440	2771	3513
441	2785	3516
442	2796	3515
443	2806	3514
444	2819	3515
445	2830	3515
446	2840	3513
447	2854	3517
448	2866	3518
449	2895	3539
450	2913	3546
451	2925	3546
452	2937	3547
453	2948	3545
454	2957	3542
455	2966	3539
456	2981	3543
457	2991	3539
458	2998	3534
459	3008	3531
460	3019	3530
461	3032	3530
462	3044	3530
463	3056	3530
464	3067	3529
465	3082	3532
466	3112	3552
467	3128	3556
468	3141	3556
469	3155	3557
470	3178	3570
471	3207	3588
472	3219	3586
473	3231	3585
474	3240	3582
475	3253	3581
476	3265	3580
477	3276	3578
478	3287	3575
479	3301	3576
